human.symbol	rat.symbol	mouse.symbol	human.go.annotation	mouse.go.annotation	rat.go.annotation
HOMER3	Homer3	Homer3		postsynaptic density	
HRH1	Hrh1	Hrh1		regulation of synaptic plasticity	synaptic transmission
HRH2	Hrh2	Hrh2		regulation of synaptic plasticity	
HTT	Htt	Htt		regulation of synaptic plasticity	postsynaptic density
ICA1	Ica1	Ica1		synaptic vesicle membrane	
IGSF8	Igsf8	Igsf8		synapse	
IGSF9	Igsf9	Igsf9		inhibitory synapse	
IGSF9B	Igsf9b	Igsf9b		inhibitory synapse; positive regulation of inhibitory postsynaptic membrane potential	
IL1RAPL1	Il1rapl1	Il1rapl1		presynaptic membrane assembly	
IQSEC3	Iqsec3	Iqsec3		postsynaptic membrane; inhibitory synapse	
ITGA3	Itga3	Itga3		synapse; excitatory synapse; synaptic membrane	
ITGA5	Itga5	Itga5		synapse	
ITGA7	Itga7	Itga7		neuromuscular junction	
ITGB1	Itgb1	Itgb1	neuromuscular junction	neuromuscular junction; synapse; synaptic membrane	
ITPKA	Itpka	Itpka		regulation of synaptic plasticity	
ITPR1	Itpr1	Itpr1		postsynaptic density	postsynaptic density; synaptic membrane
ITPR3	Itpr3	Itpr3		long-term synaptic potentiation	
JPH3	Jph3	Jph3		regulation of neuronal synaptic plasticity; regulation of neuronal synaptic plasticity	
JPH4	Jph4	Jph4		regulation of synaptic plasticity	
KCNC3	Kcnc3	Kcnc3		neuromuscular junction; regulation of neurotransmitter secretion	
KCNC4	Kcnc4	Kcnc4		neuromuscular junction; regulation of neurotransmitter secretion	
KCNJ10	Kcnj10	Kcnj10		regulation of long-term neuronal synaptic plasticity	
KCNMA1	Kcnma1	Kcnma1		synaptic transmission; terminal bouton; postsynaptic membrane	presynaptic active zone membrane
KCTD16	Kctd16	Kctd16		presynaptic membrane; postsynaptic membrane	
KIF1B	Kif1b	Kif1b		neuron-neuron synaptic transmission; neuromuscular synaptic transmission	
KIF5B	Kif5b	Kif5b		positive regulation of synaptic transmission, GABAergic	
KRAS	Kras	Kras		regulation of synaptic transmission, GABAergic; regulation of long-term neuronal synaptic plasticity	
L1CAM	L1cam	L1cam		presynaptic membrane; terminal bouton	
LAMA2	Lama2	Lama2		positive regulation of synaptic transmission, cholinergic	
LAMB2	Lamb2	Lamb2		synapse	
LAMP1	Lamp1	Lamp1		synaptic vesicle	
LGI3	Lgi3	Lgi3		synaptic vesicle	
LIN7A	LOC100911013	Lin7a		synaptic vesicle transport	
LIN7C	Lin7c	Lin7c		synapse	synapse
LRP4	Lrp4	Lrp4		neuromuscular junction; synaptic growth at neuromuscular junction; synaptic growth at neuromuscular junction; postsynaptic membrane assembly; presynaptic membrane assembly	postsynaptic density; synaptic membrane
LRP8	Lrp8	Lrp8		regulation of synaptic transmission	postsynaptic density
LRRC4	Lrrc4	Lrrc4		synapse; postsynaptic membrane; excitatory synapse	
LRRC4B	Lrrc4b	Lrrc4b		positive regulation of synapse assembly	
LRRK2	Lrrk2	Lrrk2	regulation of synaptic vesicle exocytosis	synaptic vesicle; synapse	
LRRTM1	LRRTM1	Lrrtm1		long-term synaptic potentiation	
LRRTM2	Lrrtm2	Lrrtm2		long-term synaptic potentiation	excitatory synapse
LRRTM4	Lrrtm4	Lrrtm4		postsynaptic membrane; neurotransmitter-gated ion channel clustering; alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor clustering	
MAGEE1	Magee1	Magee1		postsynaptic membrane	
MAP1A	Map1a	Map1a		neuronal postsynaptic density	
MAP1B	Map1b	Map1b		postsynaptic density; neuronal postsynaptic density	synapse assembly; postsynaptic density; induction of synaptic plasticity by chemical substance
MAP2	Map2	Map2		postsynaptic density; neuronal postsynaptic density	
MAP4	Map4	Map4		neuronal postsynaptic density	
MAPK10	Mapk10	Mapk10		neuronal postsynaptic density	
MAPK8IP1	Mapk8ip1	Mapk8ip1		synapse	
MAPK8IP2	Mapk8ip2	Mapk8ip2		regulation of synaptic transmission, glutamatergic; regulation of excitatory postsynaptic membrane potential; neuronal postsynaptic density	
MAPT	Mapt	Mapt		postsynaptic density	
MECP2	Mecp2	Mecp2		synaptic transmission; synapse assembly; regulation of synaptic plasticity; positive regulation of synapse assembly; regulation of excitatory postsynaptic membrane potential; long-term synaptic potentiation	
MEF2C	Mef2c	Mef2c		regulation of synaptic activity	
MET	Met	Met		regulation of synaptic transmission; regulation of excitatory postsynaptic membrane potential	postsynaptic density; postsynaptic membrane; excitatory synapse
MGLL	Mgll	Mgll		synapse; long term synaptic depression	synapse
MME	Mme	Mme		synaptic vesicle; synapse	
MPP4	Mpp4	Mpp4		presynaptic membrane	
MRGPRX3	Mrgprx3	Mrgpra1		synaptic transmission; neuropeptide receptor activity	
MUSK	Musk	Musk		regulation of synaptic growth at neuromuscular junction; neuromuscular junction; postsynaptic membrane	neuromuscular junction; positive regulation of synaptic transmission, cholinergic; positive regulation of synaptic growth at neuromuscular junction; long-term synaptic potentiation
MYH10	Myh10	Myh10		neuromuscular junction	
MYH9	Myh9	Myh9		neuromuscular junction	
MYLK2	Mylk2	Mylk2		neuromuscular synaptic transmission; neuromuscular synaptic transmission	synaptic vesicle; postsynaptic density; terminal bouton; regulation of neuronal synaptic plasticity; synaptic vesicle transport
MYO5A	Myo5a	Myo5a		synaptic transmission	synaptic vesicle
MYO6	Myo6	Myo6		synaptic transmission; synapse assembly; regulation of synaptic plasticity	
MYO7A	Myo7a	Myo7a	synapse	synapse	synapse
MYRIP	Myrip	Myrip		synapse	
NAPA	Napa	Napa		regulation of synaptic vesicle priming; synaptic transmission, glutamatergic	terminal bouton
NAPB	Napb	Napb		regulation of synaptic vesicle priming; synaptic transmission, glutamatergic	
NAT8L	Nat8l	Nat8l		positive regulation of dopamine uptake involved in synaptic transmission	
NEFH	Nefh	Nefh		neuronal postsynaptic density	
NETO1	Neto1	Neto1		postsynaptic density; synapse; regulation of long-term neuronal synaptic plasticity; excitatory synapse; positive regulation of excitatory postsynaptic membrane potential	
NETO2	Neto2	Neto2		postsynaptic density; synapse; positive regulation of excitatory postsynaptic membrane potential	
NEUROD2	Neurod2	Neurod2		positive regulation of synaptic plasticity; positive regulation of synapse maturation; negative regulation of synapse maturation	
NF1	Nf1	Nf1		regulation of synaptic transmission, GABAergic; negative regulation of neurotransmitter secretion; negative regulation of neurotransmitter secretion; regulation of long-term neuronal synaptic plasticity; regulation of long-term neuronal synaptic plasticity	postsynaptic density
NGF	Ngf	Ngf		regulation of neurotransmitter secretion	
NGFR	Ngfr	Ngfr		neuronal postsynaptic density	positive regulation of synaptic transmission, cholinergic; positive regulation of synaptic transmission, glutamatergic
NIPSNAP1	Nipsnap1	Nipsnap1		synaptic membrane	
NLGN1	Nlgn1	Nlgn1		synapse assembly; synaptic vesicle targeting; synapse; regulation of synaptic transmission; positive regulation of synapse assembly; regulation of inhibitory postsynaptic membrane potential; postsynaptic membrane assembly; presynaptic membrane assembly; alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor clustering; alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor clustering; positive regulation of synaptic vesicle endocytosis; positive regulation of synaptic vesicle exocytosis; positive regulation of excitatory postsynaptic membrane potential	synapse assembly; positive regulation of synaptic transmission, GABAergic; synapse; positive regulation of synapse assembly; positive regulation of synaptic transmission, glutamatergic; positive regulation of synaptic transmission, glutamatergic; regulation of inhibitory postsynaptic membrane potential; presynaptic membrane assembly; alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor clustering; N-methyl-D-aspartate receptor clustering; positive regulation of synaptic vesicle endocytosis; positive regulation of synaptic vesicle exocytosis; positive regulation of excitatory postsynaptic membrane potential; positive regulation of excitatory postsynaptic membrane potential
